instance family sequential-d2-induced-except-0 sequential-d2-induced-except-1 sequential-d2-induced-except-2 sequential-d2-induced-except-3 sequential-d2-induced-except-4 sequential-d2-induced-except-5 sequential-d2-induced-except-10 sequential-d2-induced-except-20
si6_m4D_m625.06 5 484 9826 2732 21915 98420 12441 26754 1000001
si6_b09m_m800.02 4 779 913 937 948 958 1006 1333 12082
si6_b09m_m800.09 4 811 915 1013 954 1036 1041 1369 1431
si6_b09m_m800.04 4 756 903 983 1048 965 989 1199 1529
si6_b09m_m800.07 4 804 922 976 967 1194 2110 1373 5030
si6_b09m_m800.00 4 773 909 931 1012 960 984 1431 1668
si6_b09m_m800.05 4 799 976 935 1047 954 980 1465 1295
si6_b09m_m800.03 4 753 915 937 972 1366 967 1572 2199
si6_b09m_m800.01 4 777 917 934 1024 966 1000 1204 1453
si6_b09m_m800.06 4 778 909 1046 946 957 1027 1183 7010
si6_b09m_m800.08 4 779 910 951 953 959 1079 1265 1692
si4_m4Dr6_m1296.01 6 2039 2292 3110 3555 280627 40933 288691 1000003
si4_m4Dr6_m1296.07 6 2046 3755 1000002 11275 15534 20733 17200 1000003
si4_m4Dr6_m1296.06 6 2063 2311 2839 21647 22976 2810 3027 676475
si4_m4Dr6_m1296.02 6 1969 2274 2543 2605 3302 3745 6778 1000002
si4_m4Dr6_m1296.08 6 2056 2366 4736 4216 3035 8906 1000001 32981
si4_m4Dr6_m1296.03 6 1986 2515 8311 8785 7537 6522 12138 4649
si4_m4Dr6_m1296.00 6 2035 2756 5101 10260 16867 12122 65762 129772
si4_m4Dr6_m1296.09 6 2017 2341 3080 4871 49280 12220 1000002 92931
si4_m4Dr6_m1296.05 6 2020 2283 88060 3253 3606 4500 9193 215159
si4_m4Dr6_m1296.04 6 1969 2315 4245 3817 55072 28557 32366 12134
si2_b06_m400.09 3 63 61 92 92 62 61 62 95
si2_b06_m400.02 3 63 61 61 61 62 61 62 62
si2_b06_m400.00 3 63 61 61 61 61 61 61 62
si2_b06_m400.03 3 63 94 93 61 61 61 61 94
si2_b06_m400.07 3 88 61 61 61 61 61 61 62
si2_b06_m400.04 3 63 61 61 61 61 61 61 62
si2_b06_m400.05 3 87 82 93 81 80 80 62 62
si2_b06_m400.01 3 63 61 61 61 61 61 61 62
si2_b06_m400.08 3 63 61 61 61 61 61 62 62
si2_b06_m400.06 3 63 61 79 72 61 61 61 89
si4_r01_m200.01 7 262 2772 2642 1069 1125 982 2642 23867
si4_r01_m200.08 7 5512 5368 3546 2863 2175 228 276 10718
si4_r01_m200.03 7 2026 758 726 1342 5369 4611 5538 133370
si4_r01_m200.04 7 1705 2110 2281 19691 5465 3670 17084 5046
si4_r01_m200.07 7 1704 1139 1488 1540 1214 1056 7979 9733
si4_r01_m200.02 7 2847 4533 4555 15796 1073 977 1807 26689
si4_r01_m200.05 7 4041 723 1272 928 1475 498 1856 12264
si4_r01_m200.06 7 759 3433 2725 1777 1968 1939 1136 354
si4_r01_m200.00 7 2975 2858 5302 985 5870 1152 16791 1284
si4_r01_m200.09 7 2512 3432 943 1233 3346 1934 2202 8238
si2_r001_m400.06 7 146 1000000 1000000 1000000 1000000 1000000 1000000 71
si2_r001_m400.08 7 159 1000000 1000000 1000000 1000000 1000000 1000000 71
si2_r001_m400.09 7 963 1000000 1000000 1000000 1000000 1000000 73 71
si2_r001_m400.01 7 74 1000000 1000000 1000000 1000000 1000000 82 71
si2_r001_m400.03 7 136 636332 1000000 1000000 1000000 1000000 2293 71
si2_r001_m400.04 7 72 1000000 1000000 1000000 1000000 1000000 1000000 113
si2_r001_m400.05 7 97 1000000 1000000 1000000 1000000 1000000 89 71
si2_r001_m400.02 7 79 1000000 1000000 1000000 134170 1000000 13193 89
si2_r001_m400.00 7 100 378677 1000000 1000000 1000000 1000000 70 71
si2_r001_m400.07 7 12946 1000000 1000000 1000000 1000000 1000000 2384 91
si4_b03m_m800.03 4 503 684 685 1000002 264650 468593 1000002 1000002
si4_b03m_m800.05 4 488 707 714 41614 1000002 1000001 1000001 1198
si4_b03m_m800.06 4 478 655 670 1435 897 741 1000002 1209
si4_b03m_m800.01 4 567 4390 1000001 1000001 715 1000001 996 935
si4_b03m_m800.08 4 506 681 700 703 1130 1256 1000002 1000001
si4_b03m_m800.09 4 479 805 2649 1000002 1000002 1000002 1000002 1212
si4_b03m_m800.00 4 555 678 656 740 676 703 1000001 1351
si4_b03m_m800.02 4 555 653 679 710 794 1324 1000002 1000002
si4_b03m_m800.07 4 482 643 862 730 2121 1244 1000001 1000002
si4_b03m_m800.04 4 484 11725 2244 9567 52542 1000001 1000003 1000002
si2_r01_m200.03 7 8892 2066 2793 258531 2594 253085 1000000 27
si2_r01_m200.00 7 1408 358 8170 209750 7634 69465 1000000 26
si2_r01_m200.05 7 461 5897 1655 3326 4218 97680 200346 27
si2_r01_m200.01 7 2548 1778 1959 2083 60017 4217 91352 27
si2_r01_m200.08 7 609 9814 460 2763 18172 5614 258907 27
si2_r01_m200.06 7 8393 2125 1605 12013 97358 177434 33657 27
si2_r01_m200.09 7 1166 9212 778 1376 2592 32680 61180 27
si2_r01_m200.02 7 3256 16105 3142 1640 249608 6167 1000000 27
si2_r01_m200.07 7 2468 3327 2803 2470 39827 16014 811775 27
si2_r01_m200.04 7 519 924 1491 23572 1582 11997 65096 27
si2_r01_m400.04 7 41030 527499 595856 5289 88423 20171 401196 1000000
si2_r01_m400.00 7 438869 106555 70576 346290 554628 480722 161828 142688
si2_r01_m400.07 7 312345 147565 238922 71196 1000000 340787 274653 1000000
si2_r01_m400.09 7 71765 98158 95289 327356 276305 1000000 280508 1000000
si2_r01_m400.01 7 149156 87112 64173 160771 266954 471844 56653 1000000
si2_r01_m400.03 7 32185 52745 46403 633619 324735 25955 36026 1000000
si2_r01_m400.02 7 20609 910180 1000000 359378 211232 464182 1000000 987609
si2_r01_m400.05 7 259892 252067 67814 176456 304848 279589 475609 1000000
si2_r01_m400.06 7 81270 147571 99505 615303 354244 72905 575460 1000000
si2_r01_m400.08 7 93650 48125 56174 403637 353700 364049 421975 1000000
si4_m4D_m625.09 5 289 421 1328 2018 1186 6021 9316 14046
si4_m4D_m625.03 5 260 587 6429 9164 2594 8781 1679 9517
si4_m4D_m625.07 5 365 13339 570 1942 2658 256213 4038 301796
si4_m4D_m625.02 5 523 633 2667 3541 1917 2717 3138 4039
si4_m4D_m625.00 5 259 604 643 3346 3905 2285 14876 6293
si4_m4D_m625.01 5 2493 32190 1263 4664 203898 823398 836344 23695
si4_m4D_m625.04 5 274 532 1282 1924 1974 2491 14615 11070
si4_m4D_m625.06 5 258 468 1781 2270 1532 6558 13689 9783
si4_m4D_m625.08 5 334 325432 4553 650 1283 2076 3360 3049
si4_m4D_m625.05 5 258 427 1495 2330 808 7046 7951 14564
si6_m4Dr6_m256.05 6 51 54 136 71 2367 6781 2221 1647
si6_m4Dr6_m256.04 6 48 52 82 199 837 1610 2762 24615
si6_m4Dr6_m256.03 6 48 59 60 235 117 91 3239 1141
si6_m4Dr6_m256.02 6 47 57 146 66 615 159 299 316
si6_m4Dr6_m256.08 6 49 106 68 83 119 66 85 17638
si6_m4Dr6_m256.00 6 50 138 124 208 421 195 1236 2701
si6_m4Dr6_m256.09 6 48 54 109 603 104 516 2712 88
si6_m4Dr6_m256.07 6 48 62 978 102 144 233 532 511
si6_m4Dr6_m256.06 6 73 77 117 82 82 276 87 762
si6_m4Dr6_m256.01 6 48 51 69 89 73 205 708 5750
si6_b09_m400.07 3 138 133 132 131 132 133 132 135
si6_b09_m400.03 3 137 131 131 130 131 131 131 133
si6_b09_m400.04 3 137 132 132 174 130 131 131 132
si6_b09_m400.06 3 137 132 132 149 131 133 131 136
si6_b09_m400.05 3 137 132 132 131 132 131 133 134
si6_b09_m400.09 3 188 160 132 131 132 154 132 134
si6_b09_m400.02 3 137 131 131 130 132 132 131 134
si6_b09_m400.01 3 137 132 131 132 131 149 131 133
si6_b09_m400.08 3 137 132 134 131 152 132 132 136
si6_b09_m400.00 3 151 132 132 131 131 131 132 133
si6_b06_m400.03 3 133 128 127 128 128 128 128 129
si6_b06_m400.08 3 133 127 128 128 128 128 129 130
si6_b06_m400.07 3 203 197 128 127 127 128 127 150
si6_b06_m400.04 3 133 127 127 129 128 128 129 130
si6_b06_m400.05 3 133 127 127 128 196 128 129 131
si6_b06_m400.06 3 133 128 128 128 129 128 129 130
si6_b06_m400.02 3 133 127 127 128 128 128 128 130
si6_b06_m400.01 3 133 179 128 128 128 129 130 132
si6_b06_m400.00 3 133 127 128 127 128 128 128 130
si6_b06_m400.09 3 161 128 128 141 128 128 152 130
si6_b03m_m200.04 4 15 22 23 26 1807 76 276889 26
si6_b03m_m200.07 4 15 29 33 24 27 42 1000000 35
si6_b03m_m200.08 4 15 22 24 24 27 338 38 28
si6_b03m_m200.02 4 22 30 24 24 4950 91 93 26
si6_b03m_m200.03 4 15 23 24 27 1000000 1557 96 4450
si6_b03m_m200.06 4 15 22 25 26 33 44 1000000 1000000
si6_b03m_m200.01 4 15 22 24 28 235 96 2187 27
si6_b03m_m200.09 4 15 30 23 27 43 44 1000000 51
si6_b03m_m200.00 4 16 22 28 27 400 100497 44 43
si6_b03m_m200.05 4 15 21 26 40 29 33 127 26
si4_b06_m800.04 3 627 654 656 715 780 670 747 685
si4_b06_m800.00 3 618 659 713 835 657 656 656 659
si4_b06_m800.08 3 646 660 688 653 657 692 712 950
si4_b06_m800.05 3 615 653 662 655 684 658 656 678
si4_b06_m800.03 3 615 663 662 693 675 656 657 659
si4_b06_m800.06 3 618 656 677 671 660 657 669 662
si4_b06_m800.07 3 669 657 656 655 683 656 657 705
si4_b06_m800.01 3 618 655 680 655 657 657 670 682
si4_b06_m800.02 3 627 656 739 672 659 657 654 657
si4_b06_m800.09 3 618 653 654 654 662 661 657 659
si6_b09m_m200.07 4 30 33 26 28 32 37 70 92
si6_b09m_m200.06 4 21 25 29 44 50 30 102 360
si6_b09m_m200.01 4 21 25 27 28 38 36 66 48
si6_b09m_m200.08 4 21 35 33 74 80 65 118 59
si6_b09m_m200.00 4 32 35 39 42 41 61 70 157
si6_b09m_m200.09 4 21 24 26 27 42 38 51 73
si6_b09m_m200.02 4 21 24 25 27 26 41 36 77
si6_b09m_m200.05 4 21 24 25 29 32 45 70 109
si6_b09m_m200.03 4 32 25 28 28 41 40 102 93
si6_b09m_m200.04 4 20 24 35 31 59 69 96 176
si4_b09m_m400.07 4 96 97 99 111 134 184 248 261
si4_b09m_m400.06 4 96 97 98 106 128 128 593 550
si4_b09m_m400.00 4 96 97 108 105 115 168 390 627
si4_b09m_m400.08 4 96 99 110 135 137 173 211 620
si4_b09m_m400.04 4 98 99 103 144 324 243 246 1130
si4_b09m_m400.09 4 150 151 107 144 129 376 185 443
si4_b09m_m400.02 4 96 97 156 101 108 150 1005 301
si4_b09m_m400.03 4 97 97 98 99 119 118 174 412
si4_b09m_m400.01 4 95 97 102 106 109 159 281 62654
si4_b09m_m400.05 4 97 96 106 108 113 141 185 39856
si6_m4Dr4_m1296.03 6 2606 3136 3857 3607 5395 6075 10243 64158
si6_m4Dr4_m1296.06 6 3051 3137 3687 6192 8572 7348 4754 14040
si6_m4Dr4_m1296.04 6 2715 3117 3274 6193 4225 4822 7885 67425
si6_m4Dr4_m1296.01 6 2685 3155 3408 3956 4506 4177 7033 107349
si6_m4Dr4_m1296.09 6 2574 3058 3413 5790 3862 4533 6413 4835
si6_m4Dr4_m1296.02 6 2692 3527 4278 7035 13423 61452 27261 8666
si6_m4Dr4_m1296.08 6 2573 3936 3650 3692 5925 6468 13574 60868
si6_m4Dr4_m1296.05 6 2695 3350 82101 5523 4468 6137 14663 394558
si6_m4Dr4_m1296.07 6 2704 3396 3607 7669 3981 4379 5185 29909
si6_m4Dr4_m1296.00 6 2609 3056 3355 3510 3786 15780 12191 458519
si6_b06_m200.09 3 20 23 23 32 23 23 23 24
si6_b06_m200.03 3 20 23 23 23 23 23 23 32
si6_b06_m200.05 3 30 31 31 31 31 31 31 32
si6_b06_m200.00 3 20 31 23 23 23 23 31 24
si6_b06_m200.08 3 20 23 23 23 23 24 23 24
si6_b06_m200.02 3 20 23 23 23 23 23 23 24
si6_b06_m200.06 3 20 23 23 23 23 23 23 24
si6_b06_m200.04 3 20 30 23 23 23 23 23 24
si6_b06_m200.01 3 21 23 30 23 28 27 24 25
si6_b06_m200.07 3 20 31 23 23 23 30 23 24
si4_m4Dr6_m625.02 6 311 416 552 651 532 5475 18323 10569
si4_m4Dr6_m625.06 6 322 650 1485 1040 1501 590 20057 162078
si4_m4Dr6_m625.03 6 310 356 386 1947 30303 7996 1591 1000001
si4_m4Dr6_m625.07 6 320 1431 8072 1891 12839 10669 19011 15728
si4_m4Dr6_m625.08 6 315 449 401 497 1288 3748 13862 47087
si4_m4Dr6_m625.09 6 321 373 955 436 15413 1099 7015 1000001
si4_m4Dr6_m625.00 6 332 359 462 1678 9591 5284 1000001 21764
si4_m4Dr6_m625.01 6 312 950 410 473 620 903 1113 3133
si4_m4Dr6_m625.05 6 308 411 623 678 2760 558 2934 22594
si4_m4Dr6_m625.04 6 314 364 17154 10480 673 2036 12155 18005
si6_b06m_m200.09 4 17 22 23 45 32 30 51 53
si6_b06m_m200.02 4 27 27 31 28 27 45 43 45
si6_b06m_m200.05 4 25 22 23 24 26 28 34 74
si6_b06m_m200.00 4 18 23 34 26 93 42 70 45843
si6_b06m_m200.07 4 27 32 34 27 67 29 58 39
si6_b06m_m200.04 4 17 23 25 46 28 29 49 40
si6_b06m_m200.08 4 18 24 23 25 30 60 2825 7060
si6_b06m_m200.06 4 17 23 24 29 28 30 84 40
si6_b06m_m200.03 4 18 22 23 25 28 37 100 9862
si6_b06m_m200.01 4 17 31 29 25 37 28 51 59
si6_m4Dr4_m256.05 6 47 82 87 209 475 71 426 1702
si6_m4Dr4_m256.03 6 49 67 105 322 103 120 998 200
si6_m4Dr4_m256.02 6 48 53 123 640 922 96 699 289
si6_m4Dr4_m256.01 6 45 51 129 65 188 322 692 660
si6_m4Dr4_m256.08 6 65 84 1535 177 312 676 958 1221
si6_m4Dr4_m256.09 6 76 89 177 355 65 117 701 1344
si6_m4Dr4_m256.07 6 48 54 83 104 741 1122 1118 1000000
si6_m4Dr4_m256.06 6 47 84 82 157 169 166 176 406491
si6_m4Dr4_m256.04 6 64 51 87 60 108 593 890 1287
si6_m4Dr4_m256.00 6 49 59 64 550 70 232 2529 100
si4_r001_m600.01 7 426 3964 1000000 1000000 1000000 1000000 1000001 1000001
si4_r001_m600.08 7 460 12073 1000000 2499 1000001 5565 53485 1000002
si4_r001_m600.02 7 449 88126 725341 1000000 1000000 1000000 1000000 1000000
si4_r001_m600.07 7 423 414 527565 16532 1000000 413584 1000000 1000001
si4_r001_m600.05 7 378 13797 360004 1000000 1000000 1000000 1000000 1000001
si4_r001_m600.06 7 409 22653 447899 349159 399042 1000000 1000001 1000001
si4_r001_m600.00 7 416 18584 650 1000000 310444 180430 1000000 1000000
si4_r001_m600.04 7 355 1000000 1000000 1000000 1000000 1000000 1000000 1000000
si4_r001_m600.09 7 362 56227 56083 1000000 1000000 1000000 1000001 1000001
si4_r001_m600.03 7 1246 279959 120061 1000000 235169 1000000 1000001 1000000
si2_b09m_m200.08 4 12 13 14 26 40 31 38 14
si2_b09m_m200.06 4 12 20 37 3186 16 14 14 14
si2_b09m_m200.03 4 12 13 15 49 14 14 14 14
si2_b09m_m200.09 4 12 14 45 14 14 15 14 14
si2_b09m_m200.04 4 12 13 23 35 69 5054 14 19
si2_b09m_m200.00 4 12 13 15 30 36 770 15 14
si2_b09m_m200.01 4 12 13 17 14 13 14 14 14
si2_b09m_m200.05 4 18 13 18 48 27 13 14 14
si2_b09m_m200.07 4 12 14 27 16 22 15 19 14
si2_b09m_m200.02 4 17 18 15 31 14 28 14 14
si6_b03_m200.01 3 18 22 30 22 22 22 22 23
si6_b03_m200.03 3 19 22 22 22 24 23 31 23
si6_b03_m200.04 3 18 30 30 22 22 22 22 23
si6_b03_m200.08 3 18 22 22 22 22 22 22 31
si6_b03_m200.07 3 19 22 22 22 22 22 30 23
si6_b03_m200.09 3 18 22 22 22 22 22 22 23
si6_b03_m200.05 3 28 22 22 22 22 22 22 23
si6_b03_m200.02 3 18 22 22 22 22 22 22 23
si6_b03_m200.06 3 18 30 22 22 22 22 22 23
si6_b03_m200.00 3 18 30 30 28 22 30 30 31
si6_b09_m200.09 3 21 25 24 24 24 24 24 25
si6_b09_m200.06 3 21 24 24 24 24 24 24 25
si6_b09_m200.08 3 21 25 24 24 24 24 25 25
si6_b09_m200.03 3 21 24 24 24 24 34 33 25
si6_b09_m200.00 3 22 24 24 24 34 24 24 25
si6_b09_m200.02 3 21 25 24 24 25 33 24 34
si6_b09_m200.07 3 33 35 24 35 35 24 25 25
si6_b09_m200.04 3 21 24 24 24 24 24 25 25
si6_b09_m200.01 3 22 34 24 24 24 24 25 26
si6_b09_m200.05 3 21 33 24 24 24 33 24 26
g10-g11 2 0 0 3 76 957 7358 1000000 27867
g10-g12 2 0 0 28 1148 37140 409407 1000000 7646
g10-g13 2 0 0 4 221 1171 12899 1000000 6961
g10-g14 2 0 1 4 36 481 3456 1000000 1600
g10-g15 2 0 1 8 234 1918 17936 1000000 8537
g10-g16 2 1 14 48 390 4374 36965 1000000 547149
g10-g20 2 175 956 13117 51282 123958 264997 1000000 1000000
g10-g21 2 3 3 3 3 3 3 3 3
g10-g22 2 2 3 21 303 13334 102916 1000000 1000000
g10-g23 2 4 15 80 602 38002 199716 1000000 2
g10-g25 2 1 1 1 24 106 1120 1000000 1000000
g10-g26 2 3 16 130 1430 24184 382427 1000000 109
g10-g27 2 6 36 432 6062 151833 1000000 1000000 3
g10-g28 2 1 1 2 6 124 7407 1000000 168065
g10-g29 2 1300 68592 982109 1000000 1000000 1000000 1000000 30
g10-g30 2 453 25478 353049 1000000 1000000 1000000 1000000 12
g10-g31 2 2290 97170 1000000 1000000 1000000 1000000 1000000 273
g10-g32 2 11 11 11 11 11 11 11 11
g10-g33 2 2 9 96 1036 54586 429251 71505 5
g10-g37 2 18 152 1884 123221 1000000 1000000 3162 8
g10-g38 2 2 2 12 74 447 19664 1000000 1000000
g10-g40 2 3064 15966 51700 135435 322091 684552 1000000 1000000
g10-g41 2 8 22 115 1019 90025 729488 139764 10
g10-g42 2 8 44 173 1142 129253 1000000 4551 7
g10-g43 2 28 205 2652 45257 1000000 1000000 643432 8
g10-g44 2 2208 85957 1000000 1000000 1000000 1000000 1000000 10
g10-g45 2 711 26539 329727 1000000 1000000 1000000 1000000 9
g10-g46 2 297 59109 1000000 1000000 1000000 1000000 16 10
g10-g47 2 218 43710 1000000 1000000 1000000 1000000 15 14
g10-g48 2 701 110508 1000000 1000000 1000000 1000000 12 11
g10-g49 2 50 528 4179 97453 1000000 1000000 1000000 9
g10-g50 2 266 4523 46575 372229 1000000 1000000 1000000 1000000
g11-g12 2 0 0 4 207 2219 18368 1000000 56940
g11-g13 2 0 0 1 6 26 82 263770 1
g11-g14 2 0 0 1 6 18 45 11285 1
g11-g15 2 1 1 1 7 32 97 347877 1
g11-g16 2 1 2 18 67 227 591 363825 4636
g11-g20 2 417 583 3767 12684 82283 209946 1000000 1000000
g11-g21 2 3 4 3 3 4 3 3 3
g11-g22 2 1 1 3 27 98 221 301282 33
g11-g23 2 2 3 9 28 60 115 281800 1000000
g11-g25 2 1 1 1 1 19 60 11614 1
g11-g26 2 2 3 16 58 121 252 1000000 2
g11-g27 2 4 12 37 105 275 577 1000000 206501
g11-g28 2 2 1 1 1 2 12 724910 2
g11-g29 2 951 8286 48644 277905 1000000 1000000 1000000 11
g11-g30 2 510 4542 25783 141628 676711 1000000 1000000 5
g11-g31 2 2076 19421 114039 615352 1000000 1000000 1000000 7
g11-g32 2 11 14 14 11 11 11 11 11
g11-g33 2 3 3 13 62 131 320 766044 10
g11-g37 2 4 14 147 953 4202 13675 1000000 12
g11-g38 2 2 3 15 47 264 650 1000000 6
g11-g40 2 1863 10155 33623 85575 207409 410405 1000000 1000000
g11-g41 2 5 6 16 69 131 446 1000000 7
g11-g42 2 6 8 36 182 355 586 1000000 20
g11-g43 2 15 50 197 736 1651 2955 1000000 9
g11-g44 2 764 6989 41293 219919 1000000 1000000 1000000 9
g11-g45 2 307 2701 15270 77304 331789 1000000 1000000 9
g11-g46 2 142 1385 9593 79938 498318 1000000 1000000 10
g11-g47 2 116 1124 7782 64470 401717 1000000 1000000 10
g11-g48 2 263 2463 16150 126548 779120 1000000 1000000 11
g11-g49 2 36 92 481 1368 3322 6614 1000000 1875
g11-g50 2 128 599 2923 13588 35156 64377 1000000 1000000
g12-g20 2 2 2 2 2 80 3044 73935 1000000
g12-g21 2 3 3 3 3 5 3 3 3
g12-g23 2 2 2 2 3 3 3 116 1000000
g12-g26 2 2 2 2 2 3 5 212 56279
g12-g27 2 2 2 3 6 15 25 519 3
g12-g29 2 9 60 297 1013 2504 5667 229669 1000000
g12-g30 2 8 19 95 416 1088 2761 108497 1000000
g12-g31 2 40 160 642 1873 4757 10767 556227 1000000
g12-g32 2 12 12 12 12 12 12 12 12
g12-g38 2 3 2 2 5 58 12336 1000000 1000000
g12-g40 2 987 5165 15505 36833 78139 147481 1000000 1000000
g12-g43 2 7 14 53 71 128 228 7005 439
g12-g44 2 20 103 391 1094 2751 6430 417922 199
g12-g45 2 12 37 149 417 1123 2658 103189 986
g12-g46 2 9 15 40 128 415 1209 48356 17
g12-g47 2 14 21 52 104 307 977 40965 12
g12-g48 2 16 23 91 299 934 2550 76196 1000000
g12-g50 2 102 824 287407 927933 1000000 1000000 807017 1000000
g13-g15 2 1 1 1 1 1 1 2 1000000
g13-g20 2 2 2 2 2 2 2 221226 1000000
g13-g21 2 4 3 3 3 3 3 5 3
g13-g23 2 2 2 2 5 11 45 1000000 10562
g13-g25 2 2 1 1 2 2 10 1000000 2
g13-g26 2 2 2 8 14 48 197 1000000 2
g13-g27 2 3 6 18 86 5380 47525 4 3
g13-g29 2 7 41 142 559 1623 17708 1000000 1000000
g13-g30 2 5 20 70 198 633 6636 1000000 1000000
g13-g31 2 16 94 302 896 3505 35087 1000000 1000000
g13-g32 2 12 12 12 12 12 12 12 12
g13-g38 2 3 2 2 4 2 4 1000000 1000000
g13-g40 2 3623 18562 63899 174291 424113 915808 1000000 1000000
g13-g43 2 11 52 284 976 1481 4655 1000000 1000000
g13-g44 2 23 108 363 1123 6090 1000000 11 10
g13-g45 2 14 52 174 533 2264 1000000 11 10
g13-g46 2 10 12 20 49 188 332363 1000000 16
g13-g47 2 10 12 29 65 223 146764 1000000 47
g13-g48 2 11 16 38 101 379 358357 1000000 1000000
g13-g49 2 14 77 330 927 2219 6078 1000000 1000000
g13-g50 2 497 400973 332510 1000000 1000000 1000000 1000000 1000000
g14-g15 2 1 1 1 2 4 50 1000000 2
g14-g20 2 2 2 2 2 2 2 23981 1000000
g14-g21 2 4 3 3 3 3 3 3 3
g14-g23 2 2 2 3 10 299 1000000 1000000 1000000
g14-g25 2 1 1 1 4 19 102 1000000 1000000
g14-g26 2 2 3 9 45 3725 1000000 1000000 2
g14-g27 2 3 11 19 459 131885 1000000 7 5
g14-g29 2 10 46 224 1701 10384 59623 1000000 1000000
g14-g30 2 7 44 132 759 4546 22220 1000000 1000000
g14-g31 2 15 88 453 2820 14505 94577 1000000 1000000
g14-g32 2 12 12 12 12 12 12 12 12
g14-g38 2 2 2 2 3 3 8 1000000 1000000
g14-g40 2 2734 17043 60032 184948 499276 1000000 1000000 1000000
g14-g43 2 23 150 588 4779 557888 1000000 1000000 9
g14-g44 2 20 114 672 3658 22303 1000000 1000000 15
g14-g45 2 23 62 302 1595 6870 640129 1000000 11
g14-g46 2 10 16 43 471 8473 505766 1000000 1000000
g14-g47 2 15 22 39 369 6161 360075 1000000 1000000
g14-g48 2 16 36 75 992 14938 868881 1000000 1000000
g14-g49 2 27 181 823 3619 351844 1000000 1000000 1000000
g14-g50 2 51636 791159 1000000 1000001 1000000 1000000 1000000 1000000
g15-g20 2 2 3 2 2 2 2 8540 1000000
g15-g21 2 5 5 5 3 3 3 3 5
g15-g23 2 3 2 2 3 6 15 1000000 1000000
g15-g25 2 1 1 1 1 1 2 112541 110
g15-g26 2 2 2 3 7 21 66 1000000 21
g15-g27 2 2 4 13 41 206 7565 1000000 5
g15-g29 2 5 28 85 229 473 1796 1000000 1000000
g15-g30 2 5 10 35 111 228 721 1000000 1000000
g15-g31 2 15 56 172 468 1126 4346 1000000 1000000
g15-g32 2 14 12 12 12 12 12 12 12
g15-g38 2 2 2 4 4 4 5 4231 1000000
g15-g40 2 4094 19185 61669 167173 404404 874384 1000000 1000000
g15-g43 2 10 53 246 971 2236 4554 1000000 83
g15-g44 2 13 53 195 593 1575 7337 11 12
g15-g45 2 17 29 96 289 700 2723 11 13
g15-g46 2 9 11 20 33 59 192 1000000 26
g15-g47 2 10 11 14 23 53 168 1000000 11
g15-g48 2 11 12 23 55 123 387 1000000 1000000
g15-g49 2 14 48 282 871 2088 4828 1000000 1000000
g15-g50 2 43075 12596 1000000 863038 1000000 1000000 1000000 1000000
g16-g20 2 3 3 2 2 2 157 459921 1000000
g16-g21 2 5 5 5 5 5 4 3 3
g16-g22 2 1 1 2 11 56 150 26484 1000001
g16-g23 2 2 2 9 19 59 153 12631 1000000
g16-g25 2 1 2 2 2 2 2 4945 1000000
g16-g26 2 2 2 9 51 171 408 57128 1000000
g16-g27 2 4 11 40 133 379 1050 191232 1000000
g16-g28 2 1 1 1 1 1 2 1309 1000000
g16-g29 2 55 315 1625 8991 46406 260920 1000000 1000000
g16-g30 2 31 175 880 4867 22345 124467 1000000 1000000
g16-g31 2 182 727 3817 18689 98733 536555 1000000 1000000
g16-g32 2 12 12 12 12 12 14 12 12
g16-g33 2 2 2 2 5 38 135 31306 1000000
g16-g37 2 4 6 17 16 20 45 221 16
g16-g38 2 2 2 2 2 18 78 11783 1000000
g16-g40 2 3251 19502 57355 151718 356951 757151 1000000 1000000
g16-g43 2 13 76 410 1255 3830 10809 1000000 1000000
g16-g44 2 105 631 3199 15266 73897 366521 1000000 1000000
g16-g45 2 59 327 1573 6693 29629 136127 1000000 1000000
g16-g46 2 13 32 320 2602 12946 76645 1000000 1000000
g16-g47 2 13 45 288 2295 11099 64814 1000000 1000000
g16-g48 2 18 109 570 4092 20753 129440 1000000 1000000
g16-g49 2 25 158 785 2653 8068 22123 1000000 1000000
g16-g50 2 1036 14453 77906 391180 1000000 1000000 1000000 1000000
g17-g18 2 1 1 7323 59025 357999 1000000 1000000 1000000
g17-g19 2 1 1 1 1 3309 31736 1000000 1000000
g17-g20 2 3 4 2 2 2 2 2 1848
g17-g21 2 4 4 4 4 4 4 4 4
g17-g22 2 2 2 2 616 14166 100560 1000000 1000000
g17-g23 2 2 2 17 1058 5502 149060 1000000 1000000
g17-g24 2 1 1 1 29 485 3267 1000000 1000000
g17-g25 2 2 2 1 1 666 35228 1000000 1000000
g17-g26 2 2 2 88 889 15605 135093 1000000 1000000
g17-g27 2 7 39 198 2232 110405 1000000 1000000 1000000
g17-g28 2 2 3 42 1073 20371 269570 1000000 1000000
g17-g29 2 44132 647504 1000000 1000000 1000000 1000000 1000000 1000000
g17-g30 2 17629 227241 1000000 1000000 1000000 1000000 1000000 1000000
g17-g31 2 65352 677484 1000000 1000000 1000000 1000000 1000000 1000000
g17-g32 2 12 12 12 12 12 12 12 12
g17-g33 2 9 62 405 6265 165042 1000000 1000000 1000000
g17-g34 2 2 189 2186 25844 620984 1000000 1000000 1000000
g17-g35 2 5 116 1334 20435 457551 1000000 1000000 1000000
g17-g36 2 4 376 7382 179349 1000000 1000000 1000000 1000000
